num	title	query	overlap	readme_overlap	score	repo	url	description	strict_reasons	readme_reasons	title_hits	readme_url
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	GT-HAD	1.00	0.00	108	NanWangAC/GT-HAD	https://github.com/NanWangAC/GT-HAD	Gated Transformer for Hyperspectral Anomaly Detection	title_overlap_1.00_method_match		gated,transformer,hyperspectral	
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	GT-HAD	1.00	0.00	108	jeline0110/GT-HAD	https://github.com/jeline0110/GT-HAD	Gated Transformer for Hyperspectral Anomaly Detection	title_overlap_1.00_method_match		gated,transformer,hyperspectral	
461	Hawkeye: Diagnosing RDMA Network Performance Anomalies with PFC Provenance	Hawkeye	0.00	1.00	100	wangshicheng1225/Hawkeye	https://github.com/wangshicheng1225/Hawkeye			title_string_in_readme;readme_title_overlap_1.00	hawkeye,diagnosing,rdma,performance,anomalies,provenance	https://raw.githubusercontent.com/wangshicheng1225/Hawkeye/HEAD/README.md
486	MGCL: Multiorder Graph Neural Network With Cross-Learning for Multivariate Time-Series Anomaly Detection	MGCL	0.00	0.50	100	kangliu1225/MGCL	https://github.com/kangliu1225/MGCL	The complete codes of the paper "Multimodal Graph Contrastive Learning for Recommendation"		partial_readme_title_overlap_0.50	mgcl,cross	https://raw.githubusercontent.com/kangliu1225/MGCL/HEAD/README.md
487	MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification	MIETT	0.00	1.00	100	Secilia-Cxy/MIETT	https://github.com/Secilia-Cxy/MIETT			title_string_in_readme;readme_title_overlap_1.00	miett,instance,transformer	https://raw.githubusercontent.com/Secilia-Cxy/MIETT/HEAD/README.md
503	NTLFlowLyzer: Towards generating an intrusion detection dataset and intruders behavior profiling through network and transport layers traffic analysis and pattern extraction	NTLFlowLyzer	0.00	1.00	100	ahlashkari/NTLFlowLyzer	https://github.com/ahlashkari/NTLFlowLyzer			doi_in_readme;title_string_in_readme;readme_title_overlap_1.00	ntlflowlyzer,towards,generating,dataset,intruders,behavior,profiling,through,transport,layers,pattern,extraction	https://raw.githubusercontent.com/ahlashkari/NTLFlowLyzer/HEAD/README.md
506	PASTA : Neural Architecture Search for Anomaly Detection in Multivariate Time Series	PASTA	0.00	0.50	100	LWHYC/PASTA	https://github.com/LWHYC/PASTA	Pan-Tumor Radiology Foundation Model Utilizing Synthetic Training Data for Advanced Oncological Insights		partial_readme_title_overlap_0.50	pasta,search	https://raw.githubusercontent.com/LWHYC/PASTA/HEAD/README.md
506	PASTA : Neural Architecture Search for Anomaly Detection in Multivariate Time Series	PASTA	0.00	0.50	100	MARVserver/pasta	https://github.com/MARVserver/pasta	FoliaPhantom		partial_readme_title_overlap_0.50	pasta,architecture	https://raw.githubusercontent.com/MARVserver/pasta/HEAD/README.md
506	PASTA : Neural Architecture Search for Anomaly Detection in Multivariate Time Series	PASTA	0.00	0.50	100	lfd/PaStA	https://github.com/lfd/PaStA	The Patch Stack Analysis		partial_readme_title_overlap_0.50	pasta,search	https://raw.githubusercontent.com/lfd/PaStA/HEAD/README.md
506	PASTA : Neural Architecture Search for Anomaly Detection in Multivariate Time Series	PASTA	0.00	0.50	100	zcash/pasta	https://github.com/zcash/pasta	Generator and supporting evidence for security of the Pallas/Vesta pair of elliptic curves suitable for Halo		partial_readme_title_overlap_0.50	pasta,search	https://raw.githubusercontent.com/zcash/pasta/HEAD/README.md
